TURN,UTTERANCE,DA,EMOTION
Ses05F_impro07_M017,That'll be great. That'll be great.,ans,exc
Ses05F_impro07_M018,"We should try to find, like, a party spot though, like you know where there's going to be a lot of parties, where there are cool people, though.  Do you know any people that might be out there?",q,exc
Ses05F_impro07_F017,okay.,b,exc
Ses05F_impro07_F018,not yet.,ans,xxx
Ses05F_impro07_M019,"Yeah, me either.",s,exc
Ses05F_impro07_M020,"[garbage] I know, I know, I know, we'll figure it out.  Right?  [garbage] it is going to be so much fun.",o,exc
Ses05F_impro07_F019,That happens. That happens at time,o,xxx
Ses05F_impro07_F020,yeah.,b,xxx
Ses05F_impro07_F021,It's going to be ridiculous.  It's going to be so cool.,o,exc
Ses05F_impro07_M021,"You can't make fun of me because I'm not going to school, though, because I'm going to be working though.",s,exc
Ses05F_impro07_F022,I'm not going to make fun of you.,s,xxx
Ses05F_impro07_M022,I'll have to make money and support us.,o,xxx
Ses05F_impro07_F023,"[LAUGHTER] Oh, I'm going to be working too, I mean.",s,exc
Ses05F_impro07_M023,"Well, yeah, of course, but you're going to be working on your school stuff too, and partying that takes up a lot of time, right, especially at U.S.C., I hear it's a big party college.",o,xxx
Ses05F_impro07_F024,I- I hear the same.,ag,exc
Ses05F_impro07_M024,Woo- I I do.,s,exc
Ses05F_impro07_F025,"I don't know how I feel about that, but-",o,exc
Ses05F_impro07_M025,I know exactly how you feel about that. I think you feel really excited about it.  I know you are. I can tell. I know you.,o,exc
Ses05F_impro07_F026,oh yeah.,b,exc
Ses05F_impro07_F027,oh yeah.,b,exc
Ses05F_impro07_M026,You're a wild and crazy woman.,o,exc
Ses05F_impro07_F028,"[LAUGHTER] Oh, it'll be awesome, that's for sure.",o,exc
Ses05F_impro07_M027,"Uh huh, it will be awesome.",ag,exc
Ses05F_impro07_F029,Better than if I'd picked up and moved to Boston.,s,exc
Ses05F_impro07_M028,"Oh, man, I'd have been so mad at you.  I'd have been so mad at you, because, what could I have done,",o,xxx
Ses05F_impro07_M029,"living near the U.S.C. campus by myself, not going to school there. just really pathetic and sad.",o,exc
Ses05F_impro07_F030,[LAUGHTER] by yourself.,s,exc
Ses05F_impro07_F031,you'd be that kid,o,exc
Ses05F_impro07_F032,"living near campus, and not going to school.",s,exc
Ses05F_impro07_M030,"Exactly.  Mooching off of all like the college experiences, that would've been me but you have saved me from that disaster. Thank you. Thank you very much.",o,exc
Ses05F_impro07_F033,[LAUGHTER],oth,exc
Ses05F_impro07_M031,"Oh, it's going to be so much fun.",o,exc
Ses05F_impro07_F034,yeah.,ag,exc
Ses05F_impro07_M032,"Well, congratulations. and to me too, because now I get to-have-",s,exc
Ses05F_impro07_F035,We should go apartment shop-er-hunting.,o,exc
Ses05F_impro07_M033,That's a good idea.,ag,exc
Ses05F_impro07_F036,Let's go tomorrow.,s,exc
Ses05F_impro07_M034,"Tomorrow, tomorrow, tomorrow-",s,exc
Ses05F_impro07_F037,yeah.,ag,exc
Ses05F_impro07_M035,"Good.  We'll have to have one soon, you're going to have to go to school in a couple of months.",s,exc
Ses05F_impro07_F038,Woo-,b,exc
Ses05F_impro07_M036,"Oh God, it's awesome... There's going to be tons of places. [garbage]",o,exc
Ses05F_impro07_F039,exciting.,o,exc
Ses05F_impro08_F000,"Hi, sir.  How can I help you?",q,neu
Ses05F_impro08_M000,"Oh, thank God.  Do you know how long I've been on the phone for half an hour trying to talk to a freaking human being.",ans,fru
Ses05F_impro08_M001,"All I want to do is put my, pay for my freaking credit card, and there's something wrong in my bill, Like I swear, it says I didn't paid last month, but I know I paid last month.",s,fru
Ses05F_impro08_F001,Okay.,b,neu
Ses05F_impro08_M002,"I put- I've been typing my number in millions of times, it won't listen to me, it's not working, and I can't get a single human being, and finally-",s,fru
Ses05F_impro08_M003,"you are a real human being.  Thank you very, very much.",s,xxx
Ses05F_impro08_F002,"[LAUGHTER] All right.  I'm sorry, sir that you've been having a hard time.",ap,neu
Ses05F_impro08_M004,"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.",o,ang
Ses05F_impro08_F003,"I kwon, it is ridiculous",ag,neu
Ses05F_impro08_F004,"yeah, I understand.",ag,neu
Ses05F_impro08_M005,"Can you like talk to somebody about this, can you like can you tell them that this is ridiculous and can they change it from now on, is there a phone number you have that I can call that will like automatically be talking to somebody a human being.",q,ang
Ses05F_impro08_F005,Uh- when's when's-,b,neu
Ses05F_impro08_F006,Sir-,b,fru
Ses05F_impro08_F007,"If yeah, well if you just slow down we'll um, we'll definitely have your problem solved and after we have your problem solved, then I can transfer you to a manager, someone who can you know, you can voice your complaint to, who will be able to something about it.",ans,neu
Ses05F_impro08_M006,"Well, okay ,well First off, fine, fine, fine.  Let's see, first off, um- yeah my bill's wrong.",s,fru
Ses05F_impro08_M007,"Like I know I paid last month, but it hasn't been paid and you charged me a late fee.",s,ang
Ses05F_impro08_F008,"Okay, so where?, okay, all right, so where did you uh- locate your your bill?",q,neu
Ses05F_impro08_M008,I got it in the mail.,ans,fru
Ses05F_impro08_F009,In the mail?,q,neu
Ses05F_impro08_M009,yeah,ans,fru
Ses05F_impro08_F010,"So is it, is- is it at all possible that maybe this statement is just old and that the transaction hadn't been processed yet?",q,neu
Ses05F_impro08_M010,"Well, when I look online, it says, it says that I was charged a late fee so I'm assuming that I paid on your web site-",ans,fru
Ses05F_impro08_F011,Okay.,b,neu
Ses05F_impro08_M011,"like I paid right through your own company before my due date but it's still and it even shows my payment there, and then it charged me the late fee afterwards.",s,fru
Ses05F_impro08_F012,Okay.,b,neu
Ses05F_impro08_F013,All right. I-,b,xxx
Ses05F_impro08_F014,"Okay so, I'll just look it up and you know see what's going on, maybe we can...",s,neu
Ses05F_impro08_M012,Okay.,ag,fru
Ses05F_impro08_F015,if I call it up on the screen.,s,neu
Ses05F_impro08_M013,"Okay, great, go ahead.",ag,neu
Ses05F_impro08_F016,"So in the database, it looks as though um, there is a there is like a glitch in the transaction where it hadn't gone through before, but I do see that you paid the, what can you tell me the amount, what was the amount?",q,neu
Ses05F_impro08_M014,It was one ninety eight sixty three. I paid the minimum.,ans,fru
Ses05F_impro08_F017,"Okay, I do see that on here, and it says that um, it had some trouble clearing for some reason.  And I think that was the problem on our end.  So um-",s,neu
Ses05F_impro08_M015,Wow.  I can't believe you're actually admitting to having a problem on your end.  That's a first.,o,xxx
Ses05F_impro08_F018,"Well you know sometimes-- just with online transactions, things happens. so um-",o,neu
Ses05F_impro08_M016,"No, No, No, I am grateful.",o,neu
Ses05F_impro08_M017,Absolutely.,ag,xxx
Ses05F_impro08_F019,"Yeah, we- Somebody went in and- and cleared the problem and it looks like you're all paid.",s,neu
Ses05F_impro08_M018,Did they take-,q,neu
Ses05F_impro08_F020,"You do the direct the direct it um- it's taking right out of your bank account, correct?",q,neu
Ses05F_impro08_M019,"Yes, yes, exactly.",ans,neu
Ses05F_impro08_F021,Yeah so- That --that did go through.,s,neu
Ses05F_impro08_M020,Are you taking the late fee off of my account then?,q,neu
Ses05F_impro08_F022,"Um- I can try to do that for you, certainly.",ans,neu
Ses05F_impro08_M021,Because I paid it on time.,s,fru
Ses05F_impro08_F023,"Right, right, and since--yeah, since it was just a computer glitch, then that's that should be cleared up as well.  So I'm going to go ahead and try and put that into the computer.  And if for some reason you notice on your statement in a few days that you've been charged and an overdue fee, then you should just call back and we'll have that.",s,neu
Ses05F_impro08_M022,Right.,b,neu
Ses05F_impro08_M023,"Yeah, but if I call back, I'll have to go through this whole rigmarole again. and try to get a hole or someone.",o,fru
Ses05F_impro08_F024,Well I'll give you my direct line and my number so you can- you can  get directly to me.,s,neu
Ses05F_impro08_M024,Really?,q,sur
Ses05F_impro08_F025,yeah.,ans,neu
Ses05F_impro08_M025,"That would be wonderful, that would be great seriously.",o,hap
Ses05F_impro08_F026,No problem.,s,neu
Ses05F_impro08_M026,"thank you, what's the number?",q,hap
Ses05F_impro08_F027,ahh one eight hundred three two three,ans,neu
Ses05F_impro08_M027,three two three,s,neu
Ses05F_impro08_F028,six four nine four,s,neu
Ses05F_impro08_M028,"six four nine four. That would be so great, thank you so much.",o,hap
Ses05F_impro08_FXX0,"Yep, So--",b,-
Ses05F_impro08_F029,You're welcome,s,neu
Ses05F_impro08_M029,oh.,b,xxx
Ses05F_impro08_F030,I'm sorry that it was an inconvenience.,ap,neu
Ses05F_impro08_M030,"It was horrible, but you've made it much better, thank you very much. Absolutely",o,hap
Ses05F_impro08_F031,I am glad.,o,xxx
Ses05F_impro08_F032,Have a good day.,s,neu
Ses05F_impro08_M031,"You too, thank you so much, have a wonderful day.",s,hap
Ses05F_impro08_F033,bye bye,g,neu
Ses05F_impro08_M032,bye,g,xxx
Ses05F_script01_1_F000,What's he going to say? Maybe we should tell him before he sees it.,o,sad
Ses05F_script01_1_M000,He saw it.,s,sad
Ses05F_script01_1_F001,How could he see it?  I was the first one up.  He was still in bed.,q,xxx
Ses05F_script01_1_M001,He was out here when it broke.,ans,sad
Ses05F_script01_1_F002,When?,q,xxx
Ses05F_script01_1_M002,"Around Four this morning, and there was a crack and I looked out.  We're standing right there when I cracked.",ans,sad
Ses05F_script01_1_F003,What was he doing out here at four in the morning?,q,xxx
Ses05F_script01_1_M003,I don't know.  but When it cracked he ran back into the house and start to cry in the kitchen.,ans,sad
Ses05F_script01_1_F004,Did you talk to him?,q,sad
Ses05F_script01_1_M004,No.  I figured it was best to leave him alone.,ans,sad
Ses05F_script01_1_F005,He cried hard.,q,sad
Ses05F_script01_1_M005,I could hear him right through the floor of my room.,ans,sad
Ses05F_script01_1_F006,He is thinking about him again.,o,sad
Ses05F_script01_1_F007,"It's getting just like after Larry died, he's having dreams, he's walking around at night.",o,sad
Ses05F_script01_1_M006,"I guess, he is.",ag,sad
Ses05F_script01_1_F008,What's the meaning of that?,q,sad
Ses05F_script01_1_M007,I don't know the meaning of it.  But I know one thing mom did.  We made a terrible mistake with dad.,ans,sad
Ses05F_script01_1_F009,What?,q,xxx
Ses05F_script01_1_M008,Being dishonest with him.  It's the kind of thing that pays off and now it's paying off.,ans,sad
Ses05F_script01_1_F010,"What do you mean, dishonest?",q,xxx
Ses05F_script01_1_M009,"You know that Larry's not coming back, and I know it.  So why do we go on letting him think that we believe with him?",ans,sad
Ses05F_script01_1_F011,"What are you going to do, argue with him?",q,xxx
Ses05F_script01_1_M010,"No um, I don't want to argue with him, but it's time we realized that nobody else believes that Larry is alive.",ans,fru
Ses05F_script01_1_M011,"Why shouldn't he dream about him, walk around during the night, looking for him um.  Do we contradict him?  Do we say outright that we don't have any hope anymore, that we haven't had any for years now?",q,fru
Ses05F_script01_1_F012,You can't just say that to him.,ans,xxx
Ses05F_script01_1_M012,We have to say it to him!,c,fru
Ses05F_script01_1_F013,"How are you going to prove it, I mean, there's no body and there's no grave.  So what are you going to do? Do you have proof?",q,xxx
Ses05F_script01_1_M013,"For God's sake, mom, three years.  Nobody comes back after three years!  It's insane!",ans,ang
Ses05F_script01_1_F014,"To you it is, and to me, but not to your father.  Now look, you can talk yourself  blue in the face, but there's no body, and there's no grave, so where are you?",q,fru
Ses05F_script01_1_M014,"Sit down, mom.  I want to talk to you.",c,fru
Ses05F_script01_1_F015,"The trouble with the god damned newspapers, I mean every week, they do a story about some boy's been gone longer than Larry and he comes back, so the next one is gonna--",s,xxx
Ses05F_script01_1_M015,"All right, All right mom.  Listen!",c,fru
Ses05F_script01_1_M016,"You know why I asked Annie here, don't you?",q,sad
Ses05F_script01_1_F016,why?,q,xxx
Ses05F_script01_1_M017,You know.,ans,fru
Ses05F_script01_1_F017,Well I got an idea.  But what's the story?,q,neu
Ses05F_script01_1_M018,I'm going to ask her to marry me.,ans,neu
Ses05F_script01_1_F018,"Well that's nobody's business but yours, Chris.",o,xxx
Ses05F_script01_1_M019,You know that's not just my business.,dag,fru
Ses05F_script01_1_F019,"What- What am - what are you going to do, I mean you're old enough to make up your own mind?",o,xxx
Ses05F_script01_1_M020,So it's all right.  I can go ahead with it then?,q,fru
Ses05F_script01_1_F020,Well you're want to make sure your father isn't you know going to--lose them,ans,xxx
Ses05F_script01_1_M021,Then it's not only my business.  Sometimes you infuriate me.  You know that?,o,xxx
Ses05F_script01_1_M022,"You know that?  Isn't it your business too, if I tell dad, and he gets, throws a fit about it?   you have such a talent for ignoring things!",o,xxx
Ses05F_script01_1_F021,I ignore what I got to ignore.  The girl is Larry's girl.,s,fru
Ses05F_script01_1_M023,She's not Larry's girl!,dag,xxx
Ses05F_script01_1_F022,"As far as your father is concerned, he's not dead and you've no right to take his girl.",s,xxx
Ses05F_script01_1_F023,"Now Chris you can go on from there, but I don't know what to do.  I mean do you know what to do, because I don't.",s,fru
Ses05F_script01_1_M024,"I don't know why it is.  But every time I reach out for something I want, I have to pull back because other people will suffer.  My whole bloody life, time after time, after time.",o,fru
Ses05F_script01_1_F024,"Well you're a considerate fellow, there's nothing wrong with that.",o,neu
Ses05F_script01_1_M025,To hell with that!,dag,ang
Ses05F_script01_1_F025,Have you asked Annie yet to marry you?,q,neu
Ses05F_script01_1_M026,I want to get this settled first.,ans,xxx
Ses05F_script01_1_F026,"Well how did you know that she will go along with it, I mean maybe she feels the same way as your father?",q,neu
Ses05F_script01_1_M027,"Well, if she does, then that's the end of it, but from her letters it sounds like she's forgotten about it.  I'll find out and then we'll thrash it out with Dad, all right?  Mom, don't avoid me.",ans,xxx
Ses05F_script01_1_F027,"The trouble is you don't see enough women, you never have",o,neu
Ses05F_script01_1_M028,"So what, I'm not fast with women.",ag,fru
Ses05F_script01_1_F028,Well I just don't see why it has to be Annie.,s,neu
Ses05F_script01_1_M029,Because it is.,s,fru
Ses05F_script01_1_F029,"well, that's a good reason, but it doesn't answer a thing.",s,xxx
Ses05F_script01_1_M030,"I can't help it.  I know her best.  I was brought up next door to here, the easiest, when I think of somebody for my wife, I think of Annie.  Do you want a diagram?",q,fru
Ses05F_script01_1_F030,"No, I don't want a diagram, but, Chris, your father thinks Larry's coming back.",ans,fru
Ses05F_script01_1_F031,"You marry his girl, and you're pronouncing him dead.  Now what's going to happen to your father, do you know?  I don't.",s,sad
Ses05F_script01_1_M031,"All right, then, Mom.",a,fru
Ses05F_script01_1_F032,Give it some more thought.,c,xxx
Ses05F_script01_1_M032,"I've given it three years of thought.  And hope by now that he wouldn't.  Can you forget about Larry an-- and we can have a regular wedding and have everybody be happy.  But that can't happen here, I'm set to get out.",s,fru
Ses05F_script01_1_F033,What the hell is this?,q,ang
Ses05F_script01_1_M033,"I'll get out. I'll get married and live some place else.  Maybe, maybe New York?",ans,fru
Ses05F_script01_1_F034,Are you crazy?,q,ang
Ses05F_script01_1_M034,"I've been a good son for too long, a big sucker.  I'm through with it.",ans,xxx
Ses05F_script01_1_F035,Wait a minute.  Tell me this.  Do you mean to say that you would leave the business?,q,fru
Ses05F_script01_1_M035,The business?  The business?  It doesn't inspire me?,ans,ang
Ses05F_script01_1_F036,Must you be inspired?,q,xxx
Ses05F_script01_1_M036,"Yes!  I like it an hour a day.  If I had to grub for money all day long, I like to come home to something beautiful.  I want a family.  I want- I want kids.  I want to build something I can give myself to. and Annie is in the center of that, and now where do I find it?",ans,xxx
Ses05F_script01_1_F037,"Don't- you, you can't think like that!  Don't think like that!",s,fru
Ses05F_script01_1_M037,Then help me stay here.,c,xxx
Ses05F_script01_1_F038,"All right!  But don't think like that, because I mean, what the hell did we do all this for, Chris?  The whole business it's all for you!  The whole shooting match is for you!",s,ang
Ses05F_script01_1_M038,I know that Mom. I know.  Just you help me stay here.,ag,xxx
Ses05F_script01_1_F039,"All right, but don't think like that.",s,xxx
Ses05F_script01_1_M039,I am thinking like that.,dag,xxx
Ses05F_script01_1_F040,"I don't understand you, do I?",q,fru
Ses05F_script01_1_M040,No.  You don't.  I'm a pretty tough guy.,ans,xxx
Ses05F_script01_1_F041,"Yeah, I can see that.",s,xxx
Ses05F_script01_2_F000,Why did you invite her here?,q,xxx
Ses05F_script01_2_M000,Why does that bother you?,q,neu
Ses05F_script01_2_F001,She's been in New York three and a half years.  Why all of the sudden?,q,neu
Ses05F_script01_2_M001,Well maybe.  Maybe she just wanted to see her again.,ans,neu
Ses05F_script01_2_F002,Nobody comes seven hundred miles just to see.,s,xxx
Ses05F_script01_2_M002,"What did you mean? He lived next door to the girl all of his life, why wouldn't he want to see her again? Don't look at me like that, he didn't tell me any more than he told you.",q,neu
Ses05F_script01_2_F003,He's not going to marry her.,c,xxx
Ses05F_script01_2_M003,How do you know he is even thinking about it?,q,fru
Ses05F_script01_2_F004,It's got that about it.,ans,xxx
Ses05F_script01_2_M004,"Well, so what.",q,fru
Ses05F_script01_2_F005,"What's going on here, Joe?",q,fru
Ses05F_script01_2_M005,"Now, listen, Kate, just-",c,fru
Ses05F_script01_2_F006,She's not his girl.  She knows she's not.,o,ang
Ses05F_script01_2_M006,You can't read her mind.,o,xxx
Ses05F_script01_2_F007,"She's . . . Then why is she still single.  New York is full of men, why isn't she married?  Probably a hundred people told her she's foolish, but she's waited.",o,fru
Ses05F_script01_2_M007,How do you know why she's waited?,q,fru
Ses05F_script01_2_F008,Because she knows what I know - she's faithful as a rock and my worst moments I think of her waiting and I know again that I'm right.,ans,fru
Ses05F_script01_2_M008,Look.  It's a nice day.  Why are we arguing?,q,fru
Ses05F_script01_2_F009,"Nobody in her- this house dares shake her faith.  Strangers might, but not his father, and not his brother.",o,fru
Ses05F_script01_2_M009,What do you want me to do? What do you want--,q,fru
Ses05F_script01_2_F010,I want you to pretend like he's coming back!,ans,ang
Ses05F_script01_2_M010,"But, Kate...",b,fru
Ses05F_script01_2_F011,"Because if he's not coming back, then I'll kill myself.",o,ang
Ses05F_script01_2_M011,[LAUGHTER],oth,fru
Ses05F_script01_2_F012,"Laugh.  Laugh at me, but what happens the night that she goes to sleep in his bed, and his memorial breaks in pieces?",s,ang
Ses05F_script01_2_M012,Calm yourself.,c,fru
Ses05F_script01_2_F013,"Believe with me, Joe.  I can't stand alone.",s,xxx
Ses05F_script01_2_M013,Calm yourself!,c,fru
Ses05F_script01_2_F014,"Only last week, another boy turned up in Detroit, been missing longer than Larry, you read it yourself.",s,ang
Ses05F_script01_2_M014,"All right, all right.  Calm yourself.",c,fru
Ses05F_script01_2_F015,"You above all, have got to believe, Joe.",c,xxx
Ses05F_script01_2_M015,"Why me, above all?",q,xxx
Ses05F_script01_2_F016,You've got to believe. You've got to--,ans,sad
Ses05F_script01_2_M016,What do you mean me above all?  Look at you.  You're shaking!,s,ang
Ses05F_script01_2_F017,I can't help it!,o,ang
Ses05F_script01_2_M017,"What have I got to hide?  What the hell is the matter with you, Kate?",q,ang
Ses05F_script01_3_F000,You're the only one I know who loves his parents.,s,hap
Ses05F_script01_3_M000,I know.  It's going out of style isn't it?,q,hap
Ses05F_script01_3_F001,"No, it's good.",ans,hap
Ses05F_script01_3_F002,It's so lovely here.  The air is sweet.,o,hap
Ses05F_script01_3_M001,So you're not sorry you came?,q,xxx
Ses05F_script01_3_F003,No.  But I'm not going to stay.,ans,hap
Ses05F_script01_3_M002,Why?,q,sur
Ses05F_script01_3_F004,Well your mother has much as told me to leave.,ans,xxx
Ses05F_script01_3_M003,Well--,b,xxx
Ses05F_script01_3_F005,"Well, you saw that! And you.  You've been-",s,xxx
Ses05F_script01_3_M004,What?,q,neu
Ses05F_script01_3_F006,Well sort of embarrassed soon as I came.,ans,sad
Ses05F_script01_3_M005,Well the plan was to kind of sneak up on you over a period of a week or so.  But uh- they take it for granted that we're all set.,s,hap
Ses05F_script01_3_F007,I figured they would- your mother at least.,ag,xxx
Ses05F_script01_3_M006,How did you know?,q,neu
Ses05F_script01_3_F008,"Well, from her point of view why else would I come?",ans,neu
Ses05F_script01_3_M007,"Well, would you want to?  I guess you know this is why I asked you to come.",q,xxx
Ses05F_script01_3_F009,I guess this is why I came.,ans,hap
Ses05F_script01_3_M008,"Anne, I love you.  I love you a great deal.  I love you!",o,hap
Ses05F_script01_3_M009,"I- I -I have no imagination, that's all I know what to say, I-I'm embarrassing you. I I didn't want to tell you here.  I wanted it to be some place different, some place where we could be new to each other you know.",s,exc
Ses05F_script01_3_M010,"You feel it's wrong here, don't you- this yard, this chair?  I want you to be ready for me Annie.  I don't want to win you away from anything.",o,exc
Ses05F_script01_3_F010,"Chris, I've been ready for a long time.",s,xxx
Ses05F_script01_3_M011,"Then, he's gone forever-you're sure?",q,xxx
Ses05F_script01_3_F011,I almost got married two years ago.,ans,xxx
Ses05F_script01_3_M012,Why didn't you?,q,xxx
Ses05F_script01_3_F012,You started to write me.,ans,xxx
Ses05F_script01_3_M013,You felt something that far back?,q,xxx
Ses05F_script01_3_F013,Every day since.,ans,xxx
Ses05F_script01_3_M014,"Annie, why didn't you say something to me?",q,xxx
Ses05F_script01_3_F014,Well I was waiting for you!  I mean I didn't-until then you hadn't written and when you write- when you wrote what did you say?  I mean you sure can be ambiguous Chris.,ans,xxx
Ses05F_script01_3_M015,"Give me a kiss, Ann. Give me a-",c,xxx
Ses05F_script01_3_M016,Oh God- I kissed Annie! I can't believe I kissed Annie!  How long I've wanted to do this.,o,exc
Ses05F_script01_3_F015,I'll never forgive you.  Why did you wait so long?  All this time I've been wondering if I was a fool for thinking of you!,o,hap
Ses05F_script01_3_M017,"Oh Annie, we're going to live now.  I'm going to make you so happy.",o,exc
Ses05F_script01_3_F016,"Not like that, you're not.",o,hap
Ses05F_script01_3_M018,I kissed you.,s,xxx
Ses05F_script01_3_F017,"Like Larry's brother.  Do it like you, Chris.  Chris, what's the matter?",q,hap
Ses05F_script01_3_M019,Let's Let's drive someplace.  I- I want to be alone with you.,s,xxx
Ses05F_script01_3_F018,"No, what is it, your mother?",q,xxx
Ses05F_script01_3_M020,"No, nothing like that.",ans,xxx
Ses05F_script01_3_F019,"What is it?  Even in your letters, there is something ashamed.",q,xxx
Ses05F_script01_3_M021,"Yeah, I suppose I have been.  But it's going from me.",ans,sad
Ses05F_script01_3_M022,I don't know how to start.,s,xxx
Ses05F_script01_3_F020,It wouldn't work like this.,s,sad
Ses05F_script01_3_M023,"It's- It's mixed up with so many other things, I-",s,sad
Ses05F_script01_3_M024,Remember when I was overseas?  I was in command of the company.,q,sad
Ses05F_script01_3_F021,yeah sure.,ans,neu
Ses05F_script01_3_M025,Yeah.  I lost them.,s,sad
Ses05F_script01_3_F022,how many?,q,sad
Ses05F_script01_3_M026,just about all.,ans,sad
Ses05F_script01_3_F023,Oh gee.,b,sad
Ses05F_script01_3_M027,Takes a little time to toss something like that off you know because they weren't just men-,o,sad
Ses05F_script01_3_M028,"for instance, there's this one time.  It had been raining for several days.  And this kid came up to me and gave me his last pair of dry socks. you know, He just put them in my pocket.",s,sad
Ses05F_script01_3_M029,"I know that- that's not a big thing, but it's just the kind of guys I had. They didn't die. They- They killed themselves for each other.",o,sad
Ses05F_script01_3_M030,I mean that exactly that-a little more selfish and they would have still been here today.,o,sad
Ses05F_script01_3_M031,"And I got an ideal, watching them all go down.  Everything was being destroyed see and-",o,sad
Ses05F_script01_3_M032,"but it seemed to me that something new was being created at the same time, a kind of responsibility, man for man.  Do you understand me?",o,sad
Ses05F_script01_3_M033,And to show that-to-to bring that back onto the earth again like a- like a monument.  And everyone would have it standing behind them and- and it would make a difference for them.,o,sad
Ses05F_script01_3_M034,And then I went home and it was incredible.  It had no meaning here.,s,sad
Ses05F_script01_3_M035,"It was all like some kind of bus accident to them.  I went back to work with my dad, in that whole rat race again.",s,sad
Ses05F_script01_3_M036,And I felt what you said- ashamed somehow-because nobody had changed at all.  It seemed to make suckers out of a whole lot of guys. and,o,sad
Ses05F_script01_3_M037,"It felt wrong to be alive-to open that bank-book; to buy that new car; to look at that new refrigerator.  I mean, you can take those things out of the war, but if you drive that car, you have to know that that comes from the love that a man has for a man.  And you've got to be a little bit better than that!",s,sad
Ses05F_script01_3_M038,"And if you're not, then it's all just loot and it's got blood on it, and I don't want any of it!  And, I guess that included you.",o,xxx
Ses05F_script01_3_F024,Do you still feel like that?,q,neu
Ses05F_script01_3_M039,"I I want you now, Annie.",ans,exc
Ses05F_script01_3_F025,"Because you can't feel like that anymore Chris, you hear me?  I mean everything that you have, you deserve.  And that includes me.  And your father?  Your father put hundreds of planes in the air, you should be proud.  A man should be paid for that.",o,sad
Ses05F_script01_3_M040,"Oh Annie.  Annie, I am going to make you a fortune!",o,hap
Ses05F_script01_3_F026,What would I do with a fortune?,q,hap
Ses05F_script02_1_M000,"What time is it?  Isn't it supposed to start running around midnight?  This is great, isn't it?  Look at this great night we got here.  Couldn't be better--",o,exc
Ses05F_script02_1_M001,actually I was hoping to go a little bit further up the coast to get away from the lights and the people but I was afraid I will miss it.  How are you doing?,q,exc
Ses05F_script02_1_F000,Fine.,ans,neu
Ses05F_script02_1_M002,"Is that--no, no no is that foam?  I can't even tell, although if I- if I can't tell, it probably isn't it?  Right It'll probably be unmistakable, but don't you think?  How you doing?",q,exc
Ses05F_script02_1_M003,"Oh no, you know what I did.  I forgot my flashlight.  How could I be so stupid?  I can't believe I forgot my flashlight.",s,exc
Ses05F_script02_1_F001,What flashlight?,q,neu
Ses05F_script02_1_M004,"The flashlight, the silver one, there's only one, isn't there?",ans,fru
Ses05F_script02_1_F002,It's not your flashlight.,s,fru
Ses05F_script02_1_M005,Whose is it?,q,fru
Ses05F_script02_1_F003,It's ours- our flashlight.  It's yours and mine.,ans,xxx
Ses05F_script02_1_M006,"Well, Sure.",ag,fru
Ses05F_script02_1_F004,"I mean you keep saying ,my flashlight, as if it's somehow just yours.  How's that suppose to make me feel?",q,fru
Ses05F_script02_1_M007,"No, Of course, you are right.  Our flashlight.  Me flashlight is you flashlight naturally.  How can we not think to bring it?",ag,fru
Ses05F_script02_1_M008,"Well, I hope the moon stays out.  Well, I wonder do they always wander during a full moon?  I can't remember, wasn't it full last year?  Do you remember?",q,xxx
Ses05F_script02_1_F005,yes.,ans,neu
Ses05F_script02_1_M009,"Are you cold?  You want my jacket?  We should have bought a blanket.  Our blanket-.  This is great, isn't it?",s,exc
Ses05F_script02_1_M010,"I didn't even think to bring a six-pack.  A six-pack would be just the thing right about now. I can't believe I forgot.  And look at kid, I am surprise I make it out of the house about flies it.",s,exc
Ses05F_script02_1_M011,[LAUGHTER] I wonder if they can hear me talk or if they can feel the vibration in the sand when we are moving around,o,exc
Ses05F_script02_1_F006,I am cold.,s,xxx
Ses05F_script02_1_M012,you want my jacket?,q,exc
Ses05F_script02_1_F007,"It's after eleven, let's go home.",s,neu
Ses05F_script02_1_M013,"Are you kidding?  We'd miss it. We just got here, what's the point of coming out here if we are just going to leave.",q,xxx
Ses05F_script02_1_F008,There is no point in coming out here.,ans,fru
Ses05F_script02_1_M014,Right.,b,exc
Ses05F_script02_1_F009,That's my point.,s,xxx
Ses05F_script02_1_M015,That's my point too.,ag,xxx
Ses05F_script02_1_F010,So let's go.,c,fru
Ses05F_script02_1_M016,"No, no, no.  That's not my point.  My point is what's the point in coming down here if we are just going to turn around and go home.  Don't you want to see it?",dag,xxx
Ses05F_script02_1_F011,Not particularly.,ans,neu
Ses05F_script02_1_M017,Why not?,q,fru
Ses05F_script02_1_F012,I just don't.,ans,neu
Ses05F_script02_1_M018,"Honey, this is a natural phenomenon. I mean,  It happens like once a year.  It's a great opportunity.",s,exc
Ses05F_script02_1_M019,"Think about people in Kansas, they have to get a- a plane reservation and a hotel reservation just to see this uh- but we are just forty minutes away.  Too good to pass up.",s,exc
Ses05F_script02_1_F013,"Pass up what?  Its little fish, one month on the beach and they flop around and they swim away and then they die.",s,fru
Ses05F_script02_1_M020,"Yeah but that moment on the beach is the highlight of their little lives, all that flopping around is laying eggs or what you- mating or spawning or something like that.",s,exc
Ses05F_script02_1_M021,This is a big night for these guys.  Life's last orgy. Yeah,o,exc
